dimos,email,library_url,official,all_candidates,note
Δήμος ΑΓΡΑΦΩΝ,dimotologio@agrafa.gr,https://agrafa.gr/anakoinwsh-leitourgia-vivliothikis-sto-gymnasio-kerasochoriou/,https://www.agrafa.gr,dimotologio@agrafa.gr; info@agrafa.gr; Dimotologio@agrafa.gr,on library page via sitemap — verify before use | site mentions βιβλιοθήκη but no linked page found
Δήμος ΑΜΥΝΤΑΙΟΥ,kpan@amyntaio.gr,https://www.amyntaio.gr/deltia-typou/4703-enta3h-sto-koinwniko-sxoliko-bibliopwleio-sxol-etos-2026-2027,https://www.amyntaio.gr,kpan@amyntaio.gr,no library page found on site | on library page via sitemap — verify before use
Δήμος ΑΝΑΤΟΛΙΚΗΣ ΣΑΜΟΥ (νέος Δήμος),sofia@digital-strategy.gr,https://islandofsamos.gr/fotografiki-ekthesi-galathri-bibliothiki-samou/,https://www.islandofsamos.gr,sofia@digital-strategy.gr; dimvath@otenet.gr,on library page via sitemap — verify before use | site mentions βιβλιοθήκη but no linked page found
Δήμος ΒΡΙΛΗΣΣΙΩΝ,a.asimakopoulos@vrilissia.gr,https://vrilissia.gr/nea/parousiase-bibliou-paint-eras-and-ideas-the-ultimate-speed-date-profiles-ten-kyriake-7-12-sto-pneumatiko-kentro/,https://www.vrilissia.gr,a.asimakopoulos@vrilissia.gr; info@vrilissia.gr,no library page found on site | on library page via sitemap — verify before use
Δήμος ΔΙΡΦΥΩΝ-ΜΕΣΣΑΠΙΩΝ,protokollo@ddm.gov.gr,https://ddm.gov.gr/epikairotita/prokirixeis/promithies/prosklisi-ekdilosis-endiaferontos-gia-tin-promitheia-ilektronikoy-exoplismoy-ton-entagmenon-dimotikon-scholeion-sto-systima-scholikon-vivliothikon-protovathmias-ekpaideysis-toy-dimoy-dirfyon-messapion/,https://ddm.gov.gr/,protokollo@ddm.gov.gr,on library page via sitemap — verify before use | site mentions βιβλιοθήκη but no linked page found
Δήμος ΔΥΤΙΚΗΣ ΑΧΑΪΑΣ,mayor@ddachaias.gr,https://ddachaias.gr/episkepseis-scholeion-sti-dimotiki-vivliothiki-tou-dimou-dytikis-achaias/,https://ddachaias.gr/,mayor@ddachaias.gr; info@ddachaias.gr; grafio.dimarxou@ddachaias.gr; protokollo@ddachaias.gr; std@ddachaias.gr,on library page via sitemap — verify before use | site mentions βιβλιοθήκη but no linked page found
Δήμος ΕΡΜΙΟΝΙΔΑΣ,kranidi1@otenet.gr,https://ermionida.gr/dimotiki-vivliothiki-kranidiou-leschi-anagnosis-kopi-pitas/,https://ermionida.gr/,kranidi1@otenet.gr; m.ermionidas@gmail.com,on library page via sitemap — verify before use | site mentions βιβλιοθήκη but no linked page found
Δήμος ΖΑΓΟΡΑΣ - ΜΟΥΡΕΣΙΟΥ,dzag.mour@gmail.com,https://www.dimos-zagoras-mouresiou.gr/header_block/dimosia-vivliothiki-zagoras,https://www.dimos-zagoras-mouresiou.gr,dzag.mour@gmail.com,"on library page — verify before use | on library page, but generic address — verify before use"
Δήμος ΖΙΤΣΑΣ,zitsa@zitsa.gov.gr,https://www.zitsa.gov.gr/links/politismos-bibliotekes-4,https://www.zitsa.gov.gr,zitsa@zitsa.gov.gr,"on library page — verify before use | on library page, but generic address — verify before use"
Δήμος ΗΡΩΙΚΗΣ ΝΗΣΟΥ ΚΑΣΟΥ,dimkasos@otenet.gr,https://kasos-heroicisland.gr/dieyrymenes-ypiresies-se-pratiri/,https://kasos-heroicisland.gr/,dimkasos@otenet.gr,"on library page — verify before use | on library page, but generic address — verify before use"
Δήμος ΚΕΝΤΡΙΚΗΣ ΚΕΡΚΥΡΑΣ & ΔΙΑΠΟΝΤΙΩΝ ΝΗΣΩΝ (νέος Δήμος),sepekerk@gmail.com,https://corfu.gr/prosklhsh-ekdhlwshs-endiaferontos-drash-e3oplismoy-twn-dhmotikwn-sxoleiwn-entagmenwn-sto-systhma-diktyoy-sxolikwn-bibliothhkwn-prwtobathmias-ekpaideyshs/,https://www.corfu.gr,sepekerk@gmail.com,no library page found on site | on library page via sitemap — verify before use
Δήμος ΚΥΘΗΡΩΝ,kythira@otenet.gr,https://kythira.gr/dimotiki-vivliothiki/,https://www.kythira.gr,kythira@otenet.gr,"on library page — verify before use | on library page, but generic address — verify before use"
Δήμος ΛΟΥΤΡΑΚΙΟΥ-ΠΕΡΑΧΩΡΑΣ-ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ,nbspinfo@loutraki.gr,https://loutraki.gov.gr/dimotiki-vivliothiki/,https://loutraki.gov.gr/,info@loutraki.gr; nbspinfo@loutraki.gr,"on library page — verify before use | on library page, but generic address — verify before use"
Δήμος ΜΑΡΩΝΕΙΑΣ ΣΑΠΩΝ,gd.maroneias-sapon@0873.syzefxis.gov.gr,https://www.maroneiasapes.gov.gr/document-library/,https://www.maroneiasapes.gov.gr/,gd.maroneias-sapon@0873.syzefxis.gov.gr,"on library page, but generic address — verify before use | only a municipality inbox published — not a library contact"
Δήμος ΜΟΝΕΜΒΑΣΙΑΣ,pinakothiki.varvaressou@nomikomonemvasias.gr,https://monemvasia.gov.gr/%ce%b5%ce%b3%ce%ba%ce%b1%ce%af%ce%bd%ce%b9%ce%b1-%cf%80%ce%b9%ce%bd%ce%b1%ce%ba%ce%bf%ce%b8%ce%ae%ce%ba%ce%b7%cf%82-%ce%b2%ce%b9%ce%b2%ce%bb%ce%b9%ce%bf%ce%b8%ce%ae%ce%ba%ce%b7%cf%82-%ce%b1%cf%87/,https://www.monemvasia.gov.gr,pinakothiki.varvaressou@nomikomonemvasias.gr,on library page via sitemap — verify before use | site mentions βιβλιοθήκη but no linked page found
