library_name,library_type,segment_variant,region,city,email,phone,address,website,source_url,source_date,in_greece,subject_variant,sent_date,replied,outcome,notes
Βιβλιοθήκη και κέντρο πληροφόρησης Ιονίου Πανεπιστημίου,academic,-,Ιόνια Νησιά,Ιωάννου Θεοτόκη,LibraryLoan@ionio.gr,"2661087323, 4, 5, 6, 7","Ιωάννου Θεοτόκη 72, Τ.Κ. 49132, Κέρκυρα",https://library.ionio.gr/gr/,https://network.nlg.gr/library/vivliothiki-kai-kentro-pliroforisis-ioniou-panepistimiou/,2026-08-21,yes,1,,,,ακαδημαϊκή — εκτός 1ου κύματος
Δημοτική Βιβλιοθήκη Άρτας,public,B,Ήπειρος,Άρτα,library@arta.gr,,,http://arta.elidoc.gr,http://arta.elidoc.gr,2026-08-21,yes,1,,,,βρέθηκε με σάρωση δήμων· επαληθεύτηκε στη σελίδα του δήμου
"Δημοτική Βιβλιοθήκη Πρέβεζας ""Γυμνασιάρχης Χρ. Κοντός""",public,B,Ήπειρος,Εθν. Αντίστασης  Πρέβεζα,dbprevezas@yahoo.gr,2682028098 2682029889 2682360341,Εθν. Αντίστασης 10 Πρέβεζα 481 00,,https://network.nlg.gr/library/dimotiki-vivliothiki-prevezas-gimnasiarchis-chr-kontos/,2026-08-21,yes,1,,,,
Δημόσια Κεντρική Βιβλιοθήκη Κόνιτσας,public,B,Ήπειρος,Κόνιτσα,lib-koni@otenet.gr,"2655360031, 2665022298, 2655022298","Χώρος Δημοτικής Αγοράς, Κόνιτσα, ΤΚ 44100, Π.Ε. Ιωαννίνων",http://www.libkon.gr/,https://network.nlg.gr/library/dimosia-kentriki-vivliothiki-konitsas/,2026-08-21,yes,1,,,,
Παιδική Βιβλιοθήκη Μετσόβου,community,B,Ήπειρος,Μέτσοβο,tositsa.vivliothiki@gmail.com,2656041365,"Ίδρυμα Βαρώνου Μιχαήλ Τοσίτσα, Μέτσοβο 44200",,https://network.nlg.gr/library/pediki-vivliothiki-metsovou/,2026-08-21,yes,1,,,,
Βιβλιοθήκη Δήμου Σουφλίου,public,B,Αν. Μακεδονία & Θράκη,Ερμού,mail@vivl-soufl.evr.sch.gr,2554022209,"Ερμού 2, Σουφλί 684 00, Ελλάδα",https://souflilib.openabekt.gr/,https://network.nlg.gr/library/vivliothiki-ke-ko-p-a-p-dimoy-soyflioy/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Αδριανής,public,B,Αν. Μακεδονία & Θράκη,Adriani Τ.Κ.,library@0835.syzefxis.gov.gr,"25210 82164, 2521352321, 2521352322","Adriani Τ.Κ. 661 00, Paranesti, Greece",,https://network.nlg.gr/library/dimotiki-vivliothiki-andrianis/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Αλεξανδρούπολης,public,B,Αν. Μακεδονία & Θράκη,Αίνου  Αλεξανδρούπολη,axdlibrary@gmail.com,2551089690,Αίνου 46 Αλεξανδρούπολη 68132,http://www.alexpolis.gr,https://network.nlg.gr/library/dimotiki-vivliothiki-alexandroupolis/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Διδυμοτείχου,public,B,Αν. Μακεδονία & Θράκη,Οθωνος,librarydid@gmail.com,"2553 350 411, 2553 022 205","Οθωνος 35, Διδυμότειχο 683 00, Ελλάδα",,https://network.nlg.gr/library/dimotiki-vivliothiki-didymoteichoy/,2026-08-21,yes,1,,,,
Δημοτική Βιβλιοθήκη Κάτω Νευροκοπίου,public,B,Αν. Μακεδονία & Θράκη,Κάτω Νευροκόπι,dembiblnevrokopi@gmail.com,,,https://nevrokopi.gr/o-dimos/dimotiki-vivliothiki/,https://nevrokopi.gr/o-dimos/dimotiki-vivliothiki/,2026-08-21,yes,1,,,,βρέθηκε με σάρωση δήμων· επαληθεύτηκε στη σελίδα του δήμου
